,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
DGCR5,0.3873386,-0.15310591,0.036211196,0.009169603,-0.36510438,0.32439697,0.3457269,0.092417076,0.36260906,-0.19372332,-0.19832365,-0.3698244,-0.27221698,0.13256939,0.008689421,0.11303811,-0.34266165,-0.07429757,-0.3113354,0.06314586,-0.115512714,-0.1277747,0.12532039,0.25645053,0.079858705,0.07960589,0.4679417,0.14846115,-0.36059046,0.06822386,0.16804165,-0.31035015,-0.2556896,0.33993798,0.1452922,0.15788926,0.2633666,0.24826314,-0.11783655,0.15481438,0.10085343,-0.36093974,0.08504475,0.12520537,-0.23024942,-0.33938515,0.14772707,-0.27870223,0.13909918,-0.06785437,0.25265962,0.114662066,-0.24264064,0.115132704,-0.24616835,0.24828166,0.096655264,0.25447148,-0.3850338,-0.013571825,-0.21370928,-0.012718514,0.03377491,0.3189734
DISC2,0.86427164,-0.26547176,0.1690131,0.19879211,-0.79418415,-0.016312007,-0.090736315,0.47119588,-0.16247143,0.40722728,-0.18676904,-0.633,-0.3486972,-0.500954,-0.003249772,0.29215682,0.023797348,-0.18683267,0.06731,-0.09325239,-0.1475136,0.042420298,-0.18228197,0.31235522,0.3032633,0.32809642,0.3569677,0.1518496,-0.5746747,0.07709484,-0.13842773,-0.005053431,0.004145868,0.6373886,0.16512239,-0.12223378,-0.71725494,0.26185113,0.26205477,0.24168788,0.4100044,-0.0385388,0.69585884,0.12906839,0.9309108,-0.40005437,0.2593667,0.008986713,-0.035171837,0.20040946,0.5807986,-0.29690248,-0.056925654,0.18593909,0.109515354,0.43476182,0.64900804,0.42930692,0.27807325,0.1659419,-0.06369337,0.2042902,-0.30215356,-0.17560226
DLEU1,0.4360945,0.32390538,0.10506413,-0.62045515,-0.020551547,-0.13607873,-0.07954775,-0.48538917,-0.19480737,-0.1481238,0.20818608,-0.29256195,0.20278892,-0.47111756,0.41009057,0.49551076,-0.1599666,-0.9513757,-0.30822274,0.109347954,-0.06447867,-0.09848446,0.3930011,0.20835279,-0.19449398,0.077392824,0.09164855,-0.05311648,-0.4809418,-0.06601455,-0.046461347,-0.3282018,0.22451077,0.2764493,-0.29638448,0.32950523,0.30511853,-0.17374621,-0.13694662,-0.07110248,0.6712282,-0.47361216,-0.068273544,0.09219874,0.106562436,-0.45773384,-1.083745,0.35980985,-0.28010613,-0.4176778,0.32287356,-0.28684855,-0.09587784,0.48741946,-0.04858446,0.37403604,-0.22638482,-0.098205544,-0.12226312,0.020833587,0.062335186,-0.43039072,0.03628792,-0.30881438
DNM3OS,0.36420605,-0.20479913,0.08447989,-0.21788165,-0.41021445,0.28053352,0.33370513,-0.05506499,0.33014724,-0.14329723,-0.3283239,-0.31019124,-0.2930195,0.009568811,0.078989536,-0.09634121,-0.25527573,0.053511336,-0.23986566,-0.034040563,-0.09917349,0.12026049,0.07908817,0.1556054,-0.12668271,0.16227752,0.31425977,0.089673765,-0.3592612,0.07626898,-0.06745778,-0.3138468,-0.1336979,0.26454538,0.27691588,0.10310991,0.1710475,0.121237904,-0.08453381,0.26098981,-0.06490088,-0.28934166,-0.04711225,0.0737576,-0.056468338,-0.3443312,0.21880469,-0.12589756,0.14008032,-0.011217026,0.27031663,-0.051718228,-0.16423365,-0.0029704021,-0.129962,0.2696529,0.06992693,0.31112376,-0.42094687,-0.12645726,0.04128289,0.05116671,-0.011893287,0.22886707
DSCAM-AS1,0.33411792,-0.2545402,0.2594998,-0.17953706,-0.45710358,0.3107936,0.43851724,-0.16920215,0.28330177,-0.24145873,-0.3144929,-0.44694123,-0.33131596,-0.053604472,0.011072134,-0.038082603,-0.3844723,0.1000124,-0.3292221,-0.075987294,-0.21002829,0.043173425,0.11019359,0.11936921,-0.1783619,0.068972774,0.24999976,0.115332395,-0.4018235,0.29968983,0.009357693,-0.38441217,-0.10179129,0.3895846,0.29536608,0.13439003,0.046593342,0.33459693,-0.16731204,0.2794283,0.054494914,-0.32749093,0.104233034,-0.039876875,0.00073273387,-0.42934978,0.07629603,-0.095068,0.03843517,-0.097873665,0.26064992,-0.14754222,-0.19842686,-0.12169671,-0.12815353,0.22496215,0.13552865,0.30911505,-0.47161445,-0.17719725,0.096581504,0.20931472,-0.014402467,0.20623204
EPB41L4A-AS1,0.3229405,-0.13139406,0.01866069,0.030903071,-0.30832094,0.27146274,0.30019778,0.14176542,0.22719136,-0.12999018,-0.1314579,-0.26938644,-0.20383099,0.15079376,-0.041062962,0.21954599,-0.29555935,-0.1587854,-0.28838587,0.044625886,-0.07113408,-0.13483723,0.19214867,0.298952,0.04685304,0.09061291,0.3970691,0.14571738,-0.31085283,0.06135589,0.15259868,-0.24755232,-0.31068915,0.31425476,0.102357745,0.13686363,0.2975224,0.13392982,-0.044983782,0.091651,0.18065703,-0.28655168,0.060923137,0.030259905,-0.20036012,-0.3163089,0.05349333,-0.21584141,0.12094185,-0.11124909,0.23435993,0.08769556,-0.14663802,0.14277956,-0.31894332,0.23060355,0.12385059,0.23005465,-0.32440197,0.10099609,-0.2530544,-0.093728036,0.020625621,0.2752714
ESRG,0.38075262,-0.14654148,0.049962737,-0.004745752,-0.35305193,0.31051385,0.33110708,0.06802278,0.33050784,-0.19621167,-0.18269017,-0.35734156,-0.26887083,0.11096523,0.022979423,0.12630762,-0.3235576,-0.083443284,-0.3080403,0.04573542,-0.13746686,-0.10915057,0.106597066,0.24212538,0.06011689,0.096469045,0.4439889,0.15839802,-0.3323721,0.06372174,0.14998437,-0.3044589,-0.23496273,0.3223641,0.1437641,0.1440776,0.23231827,0.24597952,-0.10784538,0.15915658,0.10041458,-0.3438851,0.102738515,0.12793592,-0.19757116,-0.34587613,0.1155598,-0.24932711,0.14323077,-0.075107716,0.25541592,0.09450789,-0.21467075,0.11690064,-0.22820911,0.26046327,0.09832468,0.2647591,-0.37151206,0.00018980447,-0.17776872,-0.010192128,0.053531542,0.30766433
GAS5,-0.44277704,-0.5887275,0.97400844,-1.0051572,-0.50931007,0.16674095,0.069339454,0.7115153,0.78471553,-0.095965624,-0.3571324,-1.7574607,-0.8515269,0.017308868,0.19711667,-0.009761244,0.19046497,-1.5548861,1.2152866,0.29411125,0.07338835,0.5234127,0.5317574,1.0085424,-0.36265182,0.60431284,0.9795692,-0.21074718,0.059182853,1.1286765,-0.93844044,-0.74301654,-1.0324812,0.28297395,-0.0026957318,-0.79751235,-0.111807436,0.8002139,0.04800885,-0.12344427,-0.29698616,-0.4180864,-0.14068994,-1.7554051,0.31704292,0.7788906,-1.1913214,0.086505264,0.14934489,-0.08558613,-0.39979085,-1.1608601,0.03784275,-0.39749256,-0.4735269,-0.023152068,-0.15080316,0.1996924,-1.6855309,0.50943816,-0.85687584,-0.21195331,-0.8171989,-0.2971556
GHET1,-0.11071615,-0.39462557,0.2312068,-0.40555274,-0.23836613,-0.39507854,0.28942484,0.37094423,0.08608844,0.08838957,0.12135651,-0.49015057,-0.06980003,-0.41089424,-0.11367721,0.02742993,-0.35156524,0.5068327,0.07580538,0.20475946,-0.027734809,0.043447305,0.35570824,-0.10284105,-0.12679228,-0.25792482,-0.03348806,-0.30319223,-0.30107033,0.7325791,-0.077123605,-0.042600624,0.01176228,0.2041157,0.050554927,0.1200445,-0.011274315,-0.2129946,-0.34892136,0.43606424,0.22248085,0.053063937,-0.17178935,-0.5901653,0.34967417,0.23522124,0.3833757,0.1978736,-0.7778066,-0.0122008305,-0.107904345,-0.34564865,-0.11298528,-0.35385177,0.00020049885,-0.3682173,0.19429764,-0.20920017,-0.29667783,0.09015968,-0.049287647,0.51948225,-0.62957436,-0.030257685
H19,-0.9233614,-0.17598405,0.088618934,-0.6923907,0.47700286,-1.231126,-0.2968061,0.9303079,1.0347267,0.5253849,0.61694944,-1.5831014,-0.31722462,0.18163033,-0.2080333,2.0920625,0.07658112,-0.6005559,0.462552,-0.7176105,0.36825264,-0.37029934,0.37813687,0.6868481,-2.1675334,0.47009975,-0.0436818,1.7090776,-0.3858307,1.3711867,-2.4287786,-1.0751616,-1.9242067,1.054162,0.66836786,-1.4812326,-0.6096201,1.3065407,-1.1095608,-1.5701493,-0.6347914,-0.6054147,-1.4550028,0.3829326,-0.050265998,0.5311351,1.2291204,0.9705248,-0.1707649,-0.66980726,-1.9521893,-1.1940893,-1.3814164,-0.32704008,-0.42719096,0.5893884,-0.67267084,-0.048972756,-0.663792,0.61923695,-0.41949773,0.08208066,-0.39095002,-0.5434797
